 Task Expected Results 
-----------------------
 Lab 7: Step 2: Task 3
(1 row)

 item_id | active_flag | price_type |  price_desc  | start_date |  end_date  | amount 
    1007 | Y           |       1026 | 3-DAY RENTAL | 2003-08-24 |            |      3
    1007 | Y           |       1027 | 5-DAY RENTAL | 2003-08-24 |            |      5
    1008 | N           |       1025 | 1-DAY RENTAL | 2003-07-31 | 2003-07-30 |      3
    1008 | N           |       1026 | 3-DAY RENTAL | 2003-07-31 | 2003-07-30 |     10
    1008 | N           |       1027 | 5-DAY RENTAL | 2003-07-31 | 2003-07-30 |     15
    1008 | Y           |       1025 | 1-DAY RENTAL | 2003-07-31 |            |      1
    1008 | Y           |       1026 | 3-DAY RENTAL | 2003-07-31 |            |      3
    1008 | Y           |       1027 | 5-DAY RENTAL | 2003-07-31 |            |      5
    1009 | N           |       1025 | 1-DAY RENTAL | 2003-07-31 | 2003-07-30 |      3
    1009 | N           |       1026 | 3-DAY RENTAL | 2003-07-31 | 2003-07-30 |     10
    1009 | N           |       1027 | 5-DAY RENTAL | 2003-07-31 | 2003-07-30 |     15
    1009 | Y           |       1025 | 1-DAY RENTAL | 2003-07-31 |            |      1
    1009 | Y           |       1026 | 3-DAY RENTAL | 2003-07-31 |            |      3
    1009 | Y           |       1027 | 5-DAY RENTAL | 2003-07-31 |            |      5
    1010 | N           |       1025 | 1-DAY RENTAL | 2003-12-18 | 2003-12-17 |      3
    1010 | N           |       1026 | 3-DAY RENTAL | 2003-12-18 | 2003-12-17 |     10
    1010 | N           |       1027 | 5-DAY RENTAL | 2003-12-18 | 2003-12-17 |     15
    1010 | Y           |       1025 | 1-DAY RENTAL | 2003-12-18 |            |      1
    1010 | Y           |       1026 | 3-DAY RENTAL | 2003-12-18 |            |      3
    1010 | Y           |       1027 | 5-DAY RENTAL | 2003-12-18 |            |      5
    1011 | N           |       1025 | 1-DAY RENTAL | 2003-05-09 | 2003-05-08 |      3
    1011 | N           |       1026 | 3-DAY RENTAL | 2003-05-09 | 2003-05-08 |     10
    1011 | N           |       1027 | 5-DAY RENTAL | 2003-05-09 | 2003-05-08 |     15
    1011 | Y           |       1025 | 1-DAY RENTAL | 2003-05-09 |            |      1
    1011 | Y           |       1026 | 3-DAY RENTAL | 2003-05-09 |            |      3
    1011 | Y           |       1027 | 5-DAY RENTAL | 2003-05-09 |            |      5
    1012 | N           |       1025 | 1-DAY RENTAL | 2004-12-16 | 2004-12-15 |      3
    1012 | N           |       1026 | 3-DAY RENTAL | 2004-12-16 | 2004-12-15 |     10
    1012 | N           |       1027 | 5-DAY RENTAL | 2004-12-16 | 2004-12-15 |     15
    1012 | Y           |       1025 | 1-DAY RENTAL | 2004-12-16 |            |      1
    1012 | Y           |       1026 | 3-DAY RENTAL | 2004-12-16 |            |      3
    1012 | Y           |       1027 | 5-DAY RENTAL | 2004-12-16 |            |      5
    1013 | N           |       1025 | 1-DAY RENTAL | 2006-06-19 | 2006-06-18 |      3
    1013 | N           |       1026 | 3-DAY RENTAL | 2006-06-19 | 2006-06-18 |     10
    1013 | N           |       1027 | 5-DAY RENTAL | 2006-06-19 | 2006-06-18 |     15
    1013 | Y           |       1025 | 1-DAY RENTAL | 2006-06-19 |            |      1
    1013 | Y           |       1026 | 3-DAY RENTAL | 2006-06-19 |            |      3
    1013 | Y           |       1027 | 5-DAY RENTAL | 2006-06-19 |            |      5
    1014 | N           |       1025 | 1-DAY RENTAL | 2006-05-29 | 2006-05-28 |      3
    1014 | N           |       1026 | 3-DAY RENTAL | 2006-05-29 | 2006-05-28 |     10
    1014 | N           |       1027 | 5-DAY RENTAL | 2006-05-29 | 2006-05-28 |     15
    1014 | Y           |       1025 | 1-DAY RENTAL | 2006-05-29 |            |      1
    1014 | Y           |       1026 | 3-DAY RENTAL | 2006-05-29 |            |      3
    1014 | Y           |       1027 | 5-DAY RENTAL | 2006-05-29 |            |      5
    1015 | N           |       1025 | 1-DAY RENTAL | 1992-04-01 | 1992-03-31 |      3
    1015 | N           |       1026 | 3-DAY RENTAL | 1992-04-01 | 1992-03-31 |     10
    1015 | N           |       1027 | 5-DAY RENTAL | 1992-04-01 | 1992-03-31 |     15
    1015 | Y           |       1025 | 1-DAY RENTAL | 1992-04-01 |            |      1
    1015 | Y           |       1026 | 3-DAY RENTAL | 1992-04-01 |            |      3
    1015 | Y           |       1027 | 5-DAY RENTAL | 1992-04-01 |            |      5
    1016 | N           |       1025 | 1-DAY RENTAL | 1998-02-05 | 1998-02-04 |      3
    1016 | N           |       1026 | 3-DAY RENTAL | 1998-02-05 | 1998-02-04 |     10
    1016 | N           |       1027 | 5-DAY RENTAL | 1998-02-05 | 1998-02-04 |     15
    1016 | Y           |       1025 | 1-DAY RENTAL | 1998-02-05 |            |      1
    1016 | Y           |       1026 | 3-DAY RENTAL | 1998-02-05 |            |      3
    1016 | Y           |       1027 | 5-DAY RENTAL | 1998-02-05 |            |      5
    1017 | N           |       1025 | 1-DAY RENTAL | 1999-12-03 | 1999-12-02 |      3
    1017 | N           |       1026 | 3-DAY RENTAL | 1999-12-03 | 1999-12-02 |     10
    1017 | N           |       1027 | 5-DAY RENTAL | 1999-12-03 | 1999-12-02 |     15
    1017 | Y           |       1025 | 1-DAY RENTAL | 1999-12-03 |            |      1
    1017 | Y           |       1026 | 3-DAY RENTAL | 1999-12-03 |            |      3
    1017 | Y           |       1027 | 5-DAY RENTAL | 1999-12-03 |            |      5
    1018 | N           |       1025 | 1-DAY RENTAL | 1994-07-29 | 1994-07-28 |      3
    1018 | N           |       1026 | 3-DAY RENTAL | 1994-07-29 | 1994-07-28 |     10
    1018 | N           |       1027 | 5-DAY RENTAL | 1994-07-29 | 1994-07-28 |     15
    1018 | Y           |       1025 | 1-DAY RENTAL | 1994-07-29 |            |      1
    1018 | Y           |       1026 | 3-DAY RENTAL | 1994-07-29 |            |      3
    1018 | Y           |       1027 | 5-DAY RENTAL | 1994-07-29 |            |      5
    1019 | N           |       1025 | 1-DAY RENTAL | 1992-01-11 | 1992-01-10 |      3
    1019 | N           |       1026 | 3-DAY RENTAL | 1992-01-11 | 1992-01-10 |     10
    1019 | N           |       1027 | 5-DAY RENTAL | 1992-01-11 | 1992-01-10 |     15
    1019 | Y           |       1025 | 1-DAY RENTAL | 1992-01-11 |            |      1
    1019 | Y           |       1026 | 3-DAY RENTAL | 1992-01-11 |            |      3
    1019 | Y           |       1027 | 5-DAY RENTAL | 1992-01-11 |            |      5
    1020 | N           |       1025 | 1-DAY RENTAL | 1993-01-04 | 1993-01-03 |      3
    1020 | N           |       1026 | 3-DAY RENTAL | 1993-01-04 | 1993-01-03 |     10
    1020 | N           |       1027 | 5-DAY RENTAL | 1993-01-04 | 1993-01-03 |     15
    1020 | Y           |       1025 | 1-DAY RENTAL | 1993-01-04 |            |      1
    1020 | Y           |       1026 | 3-DAY RENTAL | 1993-01-04 |            |      3
    1020 | Y           |       1027 | 5-DAY RENTAL | 1993-01-04 |            |      5
    1021 | N           |       1025 | 1-DAY RENTAL | 1998-06-15 | 1998-06-14 |      3
    1021 | N           |       1026 | 3-DAY RENTAL | 1998-06-15 | 1998-06-14 |     10
    1021 | N           |       1027 | 5-DAY RENTAL | 1998-06-15 | 1998-06-14 |     15
    1021 | Y           |       1025 | 1-DAY RENTAL | 1998-06-15 |            |      1
    1021 | Y           |       1026 | 3-DAY RENTAL | 1998-06-15 |            |      3
    1021 | Y           |       1027 | 5-DAY RENTAL | 1998-06-15 |            |      5
    1022 | Y           |       1025 | 1-DAY RENTAL | 2022-02-13 |            |      3
    1022 | Y           |       1026 | 3-DAY RENTAL | 2022-02-13 |            |     10
    1022 | Y           |       1027 | 5-DAY RENTAL | 2022-02-13 |            |     15
    1023 | Y           |       1025 | 1-DAY RENTAL | 2022-02-13 |            |      3
    1023 | Y           |       1026 | 3-DAY RENTAL | 2022-02-13 |            |     10
    1023 | Y           |       1027 | 5-DAY RENTAL | 2022-02-13 |            |     15
    1024 | Y           |       1025 | 1-DAY RENTAL | 2022-02-13 |            |      3
    1024 | Y           |       1026 | 3-DAY RENTAL | 2022-02-13 |            |     10
    1024 | Y           |       1027 | 5-DAY RENTAL | 2022-02-13 |            |     15
(135 rows)

