 Task Expected Results 
-----------------------
 Lab 8: Step 1: Task 1
(1 row)

 item_id | active_flag | price_type | start_date |  end_date  | amount 
    1010 | N           |       1025 | 2003-12-18 | 2003-12-17 |   5.00
    1010 | Y           |       1026 | 2003-12-18 |            |   3.00
    1010 | N           |       1026 | 2003-12-18 | 2003-12-17 |  10.00
    1010 | Y           |       1027 | 2003-12-18 |            |   5.00
    1010 | N           |       1027 | 2003-12-18 | 2003-12-17 |  15.00
    1011 | Y           |       1025 | 2003-05-09 |            |   1.00
    1011 | N           |       1025 | 2003-05-09 | 2003-05-08 |   5.00
    1011 | Y           |       1026 | 2003-05-09 |            |   3.00
    1011 | N           |       1026 | 2003-05-09 | 2003-05-08 |  10.00
    1011 | Y           |       1027 | 2003-05-09 |            |   5.00
    1011 | N           |       1027 | 2003-05-09 | 2003-05-08 |  15.00
    1012 | Y           |       1025 | 2004-12-16 |            |   1.00
    1012 | N           |       1025 | 2004-12-16 | 2004-12-15 |   5.00
    1012 | Y           |       1026 | 2004-12-16 |            |   3.00
    1012 | N           |       1026 | 2004-12-16 | 2004-12-15 |  10.00
    1012 | Y           |       1027 | 2004-12-16 |            |   5.00
    1012 | N           |       1027 | 2004-12-16 | 2004-12-15 |  15.00
    1013 | Y           |       1025 | 2006-06-19 |            |   1.00
    1013 | N           |       1025 | 2006-06-19 | 2006-06-18 |   5.00
    1013 | Y           |       1026 | 2006-06-19 |            |   3.00
    1013 | N           |       1026 | 2006-06-19 | 2006-06-18 |  10.00
    1013 | Y           |       1027 | 2006-06-19 |            |   5.00
    1013 | N           |       1027 | 2006-06-19 | 2006-06-18 |  15.00
    1014 | Y           |       1025 | 2006-05-29 |            |   1.00
    1014 | N           |       1025 | 2006-05-29 | 2006-05-28 |   5.00
    1014 | Y           |       1026 | 2006-05-29 |            |   3.00
    1014 | N           |       1026 | 2006-05-29 | 2006-05-28 |  10.00
    1014 | Y           |       1027 | 2006-05-29 |            |   5.00
    1014 | N           |       1027 | 2006-05-29 | 2006-05-28 |  15.00
    1015 | Y           |       1025 | 1992-04-01 |            |   1.00
    1015 | N           |       1025 | 1992-04-01 | 1992-03-31 |   5.00
    1015 | Y           |       1026 | 1992-04-01 |            |   3.00
    1015 | N           |       1026 | 1992-04-01 | 1992-03-31 |  10.00
    1015 | Y           |       1027 | 1992-04-01 |            |   5.00
    1015 | N           |       1027 | 1992-04-01 | 1992-03-31 |  15.00
    1016 | Y           |       1025 | 1998-02-05 |            |   1.00
    1016 | N           |       1025 | 1998-02-05 | 1998-02-04 |   5.00
    1016 | Y           |       1026 | 1998-02-05 |            |   3.00
    1016 | N           |       1026 | 1998-02-05 | 1998-02-04 |  10.00
    1016 | Y           |       1027 | 1998-02-05 |            |   5.00
    1016 | N           |       1027 | 1998-02-05 | 1998-02-04 |  15.00
    1017 | Y           |       1025 | 1999-12-03 |            |   1.00
    1017 | N           |       1025 | 1999-12-03 | 1999-12-02 |   5.00
    1017 | Y           |       1026 | 1999-12-03 |            |   3.00
    1017 | N           |       1026 | 1999-12-03 | 1999-12-02 |  10.00
    1017 | Y           |       1027 | 1999-12-03 |            |   5.00
    1017 | N           |       1027 | 1999-12-03 | 1999-12-02 |  15.00
    1018 | Y           |       1025 | 1994-07-29 |            |   1.00
    1018 | N           |       1025 | 1994-07-29 | 1994-07-28 |   5.00
    1018 | Y           |       1026 | 1994-07-29 |            |   3.00
    1018 | N           |       1026 | 1994-07-29 | 1994-07-28 |  10.00
    1018 | Y           |       1027 | 1994-07-29 |            |   5.00
    1018 | N           |       1027 | 1994-07-29 | 1994-07-28 |  15.00
    1019 | Y           |       1025 | 1992-01-11 |            |   1.00
    1019 | N           |       1025 | 1992-01-11 | 1992-01-10 |   5.00
    1019 | Y           |       1026 | 1992-01-11 |            |   3.00
    1019 | N           |       1026 | 1992-01-11 | 1992-01-10 |  10.00
    1019 | Y           |       1027 | 1992-01-11 |            |   5.00
    1019 | N           |       1027 | 1992-01-11 | 1992-01-10 |  15.00
    1020 | Y           |       1025 | 1993-01-04 |            |   1.00
    1020 | N           |       1025 | 1993-01-04 | 1993-01-03 |   5.00
    1020 | Y           |       1026 | 1993-01-04 |            |   3.00
    1020 | N           |       1026 | 1993-01-04 | 1993-01-03 |  10.00
    1020 | Y           |       1027 | 1993-01-04 |            |   5.00
    1020 | N           |       1027 | 1993-01-04 | 1993-01-03 |  15.00
    1021 | Y           |       1025 | 1998-06-15 |            |   1.00
    1021 | N           |       1025 | 1998-06-15 | 1998-06-14 |   5.00
    1021 | Y           |       1026 | 1998-06-15 |            |   3.00
    1021 | N           |       1026 | 1998-06-15 | 1998-06-14 |  10.00
    1021 | Y           |       1027 | 1998-06-15 |            |   5.00
    1021 | N           |       1027 | 1998-06-15 | 1998-06-14 |  15.00
    1005 | Y           |       1025 | 2005-06-19 |            |   1.00
    1005 | N           |       1025 | 2005-06-19 | 2005-06-18 |   5.00
    1005 | Y           |       1026 | 2005-06-19 |            |   3.00
    1005 | N           |       1026 | 2005-06-19 | 2005-06-18 |  10.00
    1005 | Y           |       1027 | 2005-06-19 |            |   5.00
    1005 | N           |       1027 | 2005-06-19 | 2005-06-18 |  15.00
    1022 | Y           |       1025 | 2022-02-13 |            |   5.00
    1022 | Y           |       1026 | 2022-02-13 |            |  10.00
    1022 | Y           |       1027 | 2022-02-13 |            |  15.00
    1023 | Y           |       1025 | 2022-02-13 |            |   5.00
    1023 | Y           |       1026 | 2022-02-13 |            |  10.00
    1023 | Y           |       1027 | 2022-02-13 |            |  15.00
    1024 | Y           |       1025 | 2022-02-13 |            |   5.00
    1024 | Y           |       1026 | 2022-02-13 |            |  10.00
    1024 | Y           |       1027 | 2022-02-13 |            |  15.00
(135 rows)

 Type  | 1-Day | 3-Day | 5-Day | TOTAL 
-------+-------+-------+-------+-------
 OLD Y |    21 |    21 |    21 |    63
 OLD N |     0 |    21 |    21 |    63
 NEW Y |     0 |     3 |     3 |     9
 NEW N |     0 |     0 |     0 |     0
(4 rows)

SET
 Task Expected Results 
-----------------------
 Lab 8: Step 1: Task 2
(1 row)

 table_name | ordinal_position |   column_name    | is_nullable |        data_type         
------------+------------------+------------------+-------------+--------------------------
 price      |                1 | price_id         | PRIMARY KEY | integer
 price      |                2 | item_id          |             | integer
 price      |                3 | price_type       | NOT NULL    | integer
 price      |                4 | active_flag      |             | character varying(1)
 price      |                5 | start_date       |             | date
 price      |                6 | end_date         |             | date
 price      |                7 | amount           |             | numeric(5,2)
 price      |                8 | created_by       | NOT NULL    | integer
 price      |                9 | creation_date    | NOT NULL    | timestamp with time zone
 price      |               10 | last_updated_by  | NOT NULL    | integer
 price      |               11 | last_update_date | NOT NULL    | timestamp with time zone
(11 rows)

